bellman_target,buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time,update_loss,update_objective
0.44147237509489057,50.0,1.0,100.0,11.0,1.0785980347614357,100,50.0,92.71295142173767,148.87277067661284,-89.13802131652832
0.3911530177295208,100.0,2.0,100.0,0.0,26.220937207407523,200,100.0,96.52669882774353,13.744380749464035,-100.98826042175293
0.35340590741485356,150.0,3.0,100.0,0.0,26.570124143295963,300,150.0,100.29032564163208,77.54906419754029,-91.4802074432373
0.29586597620509564,200.0,4.0,100.0,0.0,26.103039539006684,400,200.0,104.12129807472229,19.868536291122435,-76.74660872459411
0.2050382296554744,250.0,5.0,100.0,0.0,26.298034323657813,500,250.0,107.92386412620544,9.077970643043518,-52.29071042776108
0.11269787343218923,300.0,6.0,100.0,0.0,26.30062990271479,600,300.0,111.72605562210083,5.8732612156867985,-29.353464832305907
0.06350591659545898,350.0,7.0,100.0,0.0,26.41050459927577,700,350.0,115.51242899894714,4.490231812000275,-16.374420824050905
0.017338135950267314,400.0,8.0,100.0,13.0,26.229216228517085,800,400.0,119.32497215270996,3.0429493725299834,-4.640579862594604
0.01303469594568014,450.0,9.0,100.0,0.0,26.437516112542287,900,450.0,123.10747694969177,3.996832160949707,-3.146319546699524
0.013314531445503234,500.0,10.0,100.0,0.0,26.192552137448352,1000,500.0,126.92535710334778,4.902444715499878,-3.5584543704986573
-0.017028956431895493,550.0,11.0,100.0,2.0,26.16710622638409,1100,550.0,130.74694967269897,4.302809454202652,4.247018537521362
-0.051215680092573164,600.0,12.0,100.0,0.0,26.129135730897133,1200,600.0,134.57409620285034,3.2477889287471773,12.778468723297118
-0.10692013554275036,650.0,13.0,100.0,0.0,26.143741636276406,1300,650.0,138.39910435676575,2.8044608914852143,27.71899821281433
-0.1343228786997497,700.0,14.0,100.0,0.0,26.26529393173535,1400,700.0,142.2064106464386,2.4478873836994173,34.289205160140995
-0.18367542076855897,750.0,15.0,100.0,10.0,25.980737367100723,1500,750.0,146.05541706085205,1.9794376182556153,47.0855162525177
-0.19152123849838973,800.0,16.0,100.0,6.0,26.042081176485272,1600,800.0,149.89535665512085,2.5576326847076416,48.95921546936035
-0.22667075742036105,850.0,17.0,100.0,0.0,25.981015782849635,1700,850.0,153.74432158470154,1.9297564151883124,58.22672431945801
-0.22081823762506247,900.0,18.0,100.0,0.0,25.98977685607714,1800,900.0,157.59198880195618,2.214457243680954,56.67814412117004
-0.2817893089354038,950.0,19.0,100.0,7.0,25.900196620979454,1900,950.0,161.45296430587769,1.9040027704834939,71.96505279541016
-0.28794305980205537,1000.0,20.0,100.0,2.0,26.185572957370553,2000,1000.0,165.27186226844788,2.028635709285736,73.69057960510254
-0.29830414935946464,1050.0,21.0,100.0,0.0,26.271354654932228,2100,1050.0,169.07828974723816,1.857400959432125,76.30857364654541
-0.33518683463335036,1100.0,22.0,100.0,0.0,26.24130882211528,2200,1100.0,172.88907647132874,1.8797351533174516,85.66612693786621
-0.36942945927381515,1150.0,23.0,100.0,0.0,26.176738217889014,2300,1150.0,176.7092628479004,2.0715080896019935,94.55482360839844
-0.3681101906299591,1200.0,24.0,100.0,0.0,25.942713313405775,2400,1200.0,180.56391072273254,1.6329964953660965,94.33822868347168
