bellman_target,buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time,update_loss,update_objective
0.46471928417682645,50.0,1.0,100.0,13.0,0.8797500055032828,100,50.0,113.66865968704224,154.27854919433594,-1151.5763555908204
0.453980433344841,100.0,2.0,100.0,0.0,4.671891989586959,200,100.0,135.07326459884644,16.550961537361147,-1161.8099780273437
0.3299766538105905,150.0,3.0,100.0,0.0,4.651482750066476,300,150.0,156.571786403656,78.94186867237092,-830.5091676330567
0.24027913376688959,200.0,4.0,100.0,3.0,4.618502051957223,400,200.0,178.22382879257202,5.648817591667175,-604.4508720779419
0.06000081077218056,250.0,5.0,100.0,0.0,4.583863101451953,500,250.0,200.03948998451233,9.899238231182098,-156.57069053649903
-0.03471636600792408,300.0,6.0,100.0,0.0,4.561179955456357,600,300.0,221.9636423587799,2.348524172306061,92.07634353637695
-0.1110494440421462,350.0,7.0,100.0,7.0,4.551274079909545,700,350.0,243.93551230430603,2.159686803817749,284.7241846847534
-0.12722115023061634,400.0,8.0,100.0,0.0,4.562373381287936,800,400.0,265.8539297580719,2.160726459026337,327.67490200042727
-0.20545594587922097,450.0,9.0,100.0,0.0,4.5702872748016325,900,450.0,287.734393119812,0.8259512466192246,525.0242504882813
-0.23826842792332173,500.0,10.0,100.0,0.0,4.543894719978354,1000,500.0,309.7419464588165,0.6204083010554313,608.2229753112792
-0.2711733616888523,550.0,11.0,100.0,0.0,4.487046784556328,1100,550.0,332.0283203125,0.7555152553319932,694.1129983520508
-0.2965724688768387,600.0,12.0,100.0,7.0,4.477156080890262,1200,600.0,354.3639283180237,0.6577206909656524,760.524365234375
-0.32368707180023193,650.0,13.0,100.0,8.0,4.504608651770187,1300,650.0,376.5634160041809,8.24834852218628,831.2891278076172
-0.3585831843316555,700.0,14.0,100.0,11.0,4.507835305223246,1400,700.0,398.7470133304596,2.897800688743591,918.1119537353516
-0.3845573142170906,750.0,15.0,100.0,0.0,4.518574968881029,1500,750.0,420.8778851032257,5.44213634133339,983.7016241455078
-0.4307995504140854,800.0,16.0,100.0,0.0,4.51369019019144,1600,800.0,443.03270721435547,2.9424126780033113,1102.124072265625
-0.4625043898820877,850.0,17.0,100.0,7.0,4.476207490583463,1700,850.0,465.37304854393005,1.0107166063785553,1184.837901611328
-0.4593037134408951,900.0,18.0,100.0,0.0,4.45873470110539,1800,900.0,487.8009366989136,0.60184500426054,1175.6789306640626
-0.4635958790779114,950.0,19.0,100.0,0.0,4.467831907249504,1900,950.0,510.183158159256,1.9987890711426735,1184.9708044433594
-0.4722900718450546,1000.0,20.0,100.0,0.0,4.4726607578932045,2000,1000.0,532.5412147045135,0.5490407198667526,1207.7697546386719
-0.4889721256494522,1050.0,21.0,100.0,0.0,4.475670709182755,2100,1050.0,554.8842360973358,0.30143534563481805,1250.8873510742187
-0.48352854311466215,1100.0,22.0,100.0,0.0,4.459810714002648,2200,1100.0,577.306713104248,0.22333944968879224,1237.5516772460937
-0.49773348212242124,1150.0,23.0,100.0,0.0,4.47225686619473,2300,1150.0,599.6667890548706,90.56246737018228,1266.3717846679688
-0.5558304554224014,1200.0,24.0,100.0,0.0,4.479283783464988,2400,1200.0,621.9917874336243,26.47974239349365,1423.5036779785157
-0.6626957643032074,1250.0,25.0,100.0,0.0,4.475702564744898,2500,1250.0,644.3346490859985,16.816490614414214,1695.6563330078125
-0.7708362305164337,1300.0,26.0,100.0,0.0,4.486735127813155,2600,1300.0,666.6225714683533,4.696350961923599,1979.7707934570312
-0.8206583046913147,1350.0,27.0,100.0,0.0,4.484407016508457,2700,1350.0,688.922064781189,2.7267483288049696,2100.686376953125
-0.8704235827922822,1400.0,28.0,100.0,0.0,4.469032499445034,2800,1400.0,711.2982733249664,1.5954104614257814,2229.7829443359374
-0.9008814358711242,1450.0,29.0,100.0,0.0,4.467194598822546,2900,1450.0,733.6836881637573,2.4249968874454497,2303.6170288085937
-0.954385017156601,1500.0,30.0,100.0,0.0,4.4779146498516536,3000,1500.0,756.0155124664307,1.73781860768795,2440.3295458984376
-0.9894991815090179,1550.0,31.0,100.0,6.0,4.481101246221027,3100,1550.0,778.3314561843872,2.3492139637470246,2537.7318408203123
-1.027119847536087,1600.0,32.0,100.0,0.0,4.482330010016651,3200,1600.0,800.6412823200226,17.87153892040253,2621.7743017578123
-1.1449286949634552,1650.0,33.0,100.0,0.0,4.473125688483753,3300,1650.0,822.9970149993896,13.498229420185089,2910.0749658203126
-1.270846438407898,1700.0,34.0,100.0,0.0,4.476573252029115,3400,1700.0,845.335530757904,6.87240375161171,3245.4705712890627
-1.3288406825065613,1750.0,35.0,100.0,0.0,4.474345547180213,3500,1750.0,867.6851694583893,3.390954588651657,3394.243505859375
-1.391880247592926,1800.0,36.0,100.0,0.0,4.47168031786076,3600,1800.0,890.0481286048889,3.2825663077831266,3564.4295263671875
-1.4059344124794007,1850.0,37.0,100.0,0.0,4.475470320872659,3700,1850.0,912.3921496868134,2.178653881549835,3599.817041015625
-1.3900488257408141,1900.0,38.0,100.0,0.0,4.485473439756827,3800,1900.0,934.6863405704498,1.5912945783138275,3562.3324267578123
-1.3833489847183227,1950.0,39.0,100.0,0.0,4.475026817807335,3900,1950.0,957.0325763225555,2.672547353506088,3544.0650244140625
-1.3697152757644653,2000.0,40.0,100.0,0.0,4.47942098207145,4000,2000.0,979.3568906784058,1.8767294347286225,3504.6297705078123
-1.3638639044761658,2050.0,41.0,100.0,0.0,4.485850840163351,4100,2050.0,1001.6492066383362,1.0822609812021255,3486.963515625
