bellman_targets,buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time,update_loss,update_objective
0.6793137550354004,50.0,1.0,100.0,0.0,1.0171447596941354,100,50.0,98.3144302368164,173.54132190704345,-161.51568946838378
0.9135759949684144,100.0,2.0,100.0,0.0,29.135953063533865,200,100.0,101.74661684036255,14.86284625530243,-245.2147314453125
1.1252806091308594,150.0,3.0,100.0,0.0,29.034077056697907,300,150.0,105.190847158432,10.572277433872223,-295.28907318115233
1.3121537935733796,200.0,4.0,100.0,0.0,29.047110527533196,400,200.0,108.63353133201599,7.426764476299286,-340.91178955078124
1.3405656099319458,250.0,5.0,100.0,0.0,29.121521396865212,500,250.0,112.06741881370544,7.209583504199982,-346.49384246826173
1.4095856392383574,300.0,6.0,100.0,0.0,28.95619315929488,600,300.0,115.52091264724731,6.727125170230866,-361.40693145751953
1.4821882152557373,350.0,7.0,100.0,0.0,29.453190657456553,700,350.0,118.9161319732666,10.063178672790528,-377.98959259033205
1.591351956129074,400.0,8.0,100.0,0.0,29.00918474606492,800,400.0,122.36331701278687,8.414981873035432,-405.8525973510742
1.6665829515457153,450.0,9.0,100.0,0.0,29.296655331391772,900,450.0,125.77667665481567,5.9857217669487,-425.4501840209961
1.731567357778549,500.0,10.0,100.0,0.0,28.971604014645557,1000,500.0,129.228333234787,6.434017474651337,-442.76777130126953
1.8809598767757416,550.0,11.0,100.0,0.0,29.032609965672847,1100,550.0,132.67273712158203,13.226976342201233,-480.38592834472655
1.8761216831207275,600.0,12.0,100.0,0.0,28.786785338691377,1200,600.0,136.14655447006226,17.588732113838194,-479.96380798339845
1.8949685502052307,650.0,13.0,100.0,0.0,28.88073636821661,1300,650.0,139.60907101631165,8.247470178604125,-484.8453668212891
2.1653871011734007,700.0,14.0,100.0,0.0,28.875584715747564,1400,700.0,143.0722050666809,12.274583673477172,-595.0932171630859
2.402993330955505,750.0,15.0,100.0,0.0,28.738922116382554,1500,750.0,146.5518078804016,11.99139889717102,-661.7524572753906
2.5896518230438232,800.0,16.0,100.0,0.0,28.77257306805215,1600,800.0,150.02734112739563,17.150044775009157,-703.4194580078125
2.6110048055648805,850.0,17.0,100.0,0.0,28.892338787922665,1700,850.0,153.4884672164917,13.429182090759276,-697.5565344238281
2.8962247562408447,900.0,18.0,100.0,0.0,28.8016682606921,1800,900.0,156.9604892730713,16.749592275619506,-800.6069702148437
3.0227535581588745,950.0,19.0,100.0,0.0,28.681761041899893,1900,950.0,160.44702649116516,47.10434257507324,-856.6255859375
3.3573982667922975,1000.0,20.0,100.0,0.0,28.618608129729378,2000,1000.0,163.94125747680664,104.07336246490479,-928.3407824707032
3.4318716764450072,1050.0,21.0,100.0,0.0,28.780065492203974,2100,1050.0,167.41588592529297,33.5362434387207,-930.0001245117187
3.622317981719971,1100.0,22.0,100.0,0.0,28.92186229502409,2200,1100.0,170.8734791278839,31.24626647949219,-1012.9404418945312
4.139265456199646,1150.0,23.0,100.0,0.0,28.47306116851925,2300,1150.0,174.38557243347168,42.548030586242675,-1263.353702392578
4.921482739448547,1200.0,24.0,100.0,0.0,28.322546246001775,2400,1200.0,177.91632914543152,256.3332709121704,-1434.0824658203126
5.0807074403762815,1250.0,25.0,100.0,0.0,28.569856068495113,2500,1250.0,181.41652250289917,233.05856971740724,-1490.0516186523437
5.740366373062134,1300.0,26.0,100.0,0.0,28.384657181301943,2600,1300.0,184.9395534992218,171.37518844604492,-1674.9652905273438
6.2875078010559085,1350.0,27.0,100.0,0.0,28.673864921292733,2700,1350.0,188.4270510673523,209.55542846679688,-1809.215498046875
6.912327299118042,1400.0,28.0,100.0,0.0,28.673172967984012,2800,1400.0,191.9146330356598,185.23465728759766,-1984.378603515625
7.238677253723145,1450.0,29.0,100.0,0.0,28.49362268726881,2900,1450.0,195.4241909980774,181.14228225708007,-2085.205134277344
8.333192415237427,1500.0,30.0,100.0,0.0,28.67611547063434,3000,1500.0,198.91141533851624,303.0219822692871,-2524.923493652344
9.492294578552245,1550.0,31.0,100.0,0.0,28.46183160937074,3100,1550.0,202.42489457130432,458.30427185058596,-2988.79263671875
10.980606126785279,1600.0,32.0,100.0,0.0,28.39375369154663,3200,1600.0,205.94679737091064,449.8762356567383,-3365.5010986328125
11.693972034454346,1650.0,33.0,100.0,0.0,28.580242072232178,3300,1650.0,209.44571900367737,439.4022750854492,-3558.329326171875
12.791927146911622,1700.0,34.0,100.0,0.0,28.570151872660198,3400,1700.0,212.94587659835815,491.46707641601563,-3822.163349609375
13.724337215423583,1750.0,35.0,100.0,0.0,28.26474776821379,3500,1750.0,216.48385381698608,646.6190203857421,-4027.6306494140626
14.59532512664795,1800.0,36.0,100.0,0.0,28.24876290970534,3600,1800.0,220.02383255958557,571.7205871582031,-4258.871904296875
15.795994453430175,1850.0,37.0,100.0,0.0,28.356430588435092,3700,1850.0,223.55037140846252,530.8167834472656,-4550.95455078125
16.55883228302002,1900.0,38.0,100.0,0.0,28.525855412688,3800,1900.0,227.05596446990967,559.1965509033203,-4740.81470703125
17.44262104034424,1950.0,39.0,100.0,0.0,28.395497182387835,3900,1950.0,230.57765078544617,656.0623229980469,-4964.850810546875
18.42422037124634,2000.0,40.0,100.0,0.0,28.138868197742198,4000,2000.0,234.1314549446106,654.7184881591797,-5188.100693359375
19.180425186157226,2050.0,41.0,100.0,0.0,28.07916921674972,4100,2050.0,237.6928153038025,758.5981213378906,-5377.960048828125
19.99164749145508,2100.0,42.0,100.0,0.0,28.42419459606719,4200,2100.0,241.21094608306885,697.7012670898438,-5594.806416015625
